Designator,Mid X,Mid Y,Rotation,Layer
C1,173.575,-99.575,270.0,top
C10,182.195,-68.970172,0.0,top
C11,182.195,-71.250172,0.0,top
C12,182.085,-66.780172,0.0,top
C13,182.205,-73.550172,0.0,top
C14,185.065,-76.475172,90.0,top
C15,177.51,-82.16,180.0,top
C16,178.38,-87.14,180.0,top
C17,167.655,-84.61,270.0,top
C18,166.445,-84.61,270.0,top
C19,162.316092,-80.220001,180.0,top
C2,178.81,-92.215,0.0,top
C20,160.866092,-81.150001,0.0,top
C21,149.805,-104.22,0.0,top
C22,152.555,-103.055,270.0,top
C23,159.26,-83.955,90.0,top
C24,157.23,-83.935,90.0,top
C25,166.345,-93.26,0.0,top
C26,156.32,-101.03,0.0,top
C27,150.31,-95.55,90.0,top
C28,146.39,-91.45,0.0,top
C29,158.23,-83.75,90.0,top
C3,180.555,-95.705,90.0,top
C30,156.12,-102.06,0.0,top
C31,166.57,-92.25,0.0,top
C32,155.01,-100.45,90.0,top
C33,145.07719,-87.272825,135.0,top
C34,149.367416,-83.413051,315.0,top
C35,151.2025,-78.7025,90.0,top
C36,153.7325,-78.6975,90.0,top
C37,145.1,-70.325,270.0,top
C4,178.86,-94.82,270.0,top
C5,173.575,-97.625,90.0,top
C6,175.73,-92.215,180.0,top
C7,182.125,-81.590172,0.0,top
C8,182.125,-83.740172,0.0,top
C9,182.045,-85.970172,0.0,top
CARD1,165.01,-63.3575,180.0,top
D1,175.57,-102.335,270.0,top
J1,188.58,-89.12,90.0,top
J2,180.25,-57.38,270.0,top
J3,180.25,-61.97,270.0,top
L4,146.68,-89.9,180.0,top
L5,169.475,-96.915,270.0,top
L6,177.485,-77.390172,270.0,top
L7,170.75,-84.37,0.0,top
R1,164.155,-103.07,180.0,top
R10,161.08,-82.96,180.0,top
R11,162.77,-86.35,90.0,top
R12,185.075,-78.890172,270.0,top
R13,185.45,-77.670172,180.0,top
R14,175.565,-87.99,0.0,top
R15,178.825,-89.21,0.0,top
R16,169.37,-72.13,270.0,top
R17,170.47,-72.125,270.0,top
R18,162.77,-72.125,270.0,top
R19,163.87,-72.1225,270.0,top
R2,167.84,-103.07,0.0,top
R20,164.97,-72.13,270.0,top
R21,167.18,-72.13,270.0,top
R22,148.255,-74.08,0.0,top
R3,180.535,-98.58,0.0,top
R4,182.085,-98.235,90.0,top
R5,180.16,-99.835,270.0,top
R6,180.99,-99.845,270.0,top
R7,175.59,-104.17,270.0,top
R8,180.555,-97.76,0.0,top
R9,162.83,-84.29,180.0,top
SW1,142.98,-70.32,270.0,top
SW2,148.56,-70.21,270.0,top
U1,176.75,-98.4,0.0,top
U2,150.08,-101.97,0.0,top
U3,158.05,-92.52,225.0,top
U4,163.101092,-82.290001,0.0,top
U5,182.275,-77.460172,90.0,top
U6,177.0525,-84.52,180.0,top
USB1,165.74,-107.29,0.0,top
X1,147.261142,-85.236777,45.0,top
X2,152.48,-80.77,0.0,top
